author      entry        time(h)
JierPeter       trace        0.50 
LittleFeng      LinEqu       2.08 
TongQing17      Charge       0.75 
TongQing18      Charge       0.50 
TongQing18      EleAdd       0.58 
addiszx         ADKrat       0.17 
addiszx         AMAdd        0.25 
addiszx         AU           1.33 
addiszx         AccGau       0.67 
addiszx         AsLgdr       0.17 
addiszx         Bessel       0.17 
addiszx         BohrEc       0.75 
addiszx         Brachi       1.17 
addiszx         COrNoB       0.83 
addiszx         CelBd        2.33 
addiszx         CenFrc       0.17 
addiszx         Cgauge       0.17 
addiszx         ClsMec       1.08 
addiszx         Compny       0.33 
addiszx         Cone         0.25 
addiszx         Consts       0.25 
addiszx         Conven       0.25 
addiszx         CulmF        0.42 
addiszx         CulmWf       1.17 
addiszx         CurCor       0.83 
addiszx         Delta        3.17 
addiszx         DetPro       0.17 
addiszx         Deter        0.42 
addiszx         DipRad       0.50 
addiszx         DirSum       0.50 
addiszx         Dsc1D        0.17 
addiszx         EBS          0.17 
addiszx         EGauss       0.58 
addiszx         EngNor       0.58 
addiszx         EqMoKp       0.92 
addiszx         Erf          0.25 
addiszx         FSExp        0.17 
addiszx         FSTri        0.42 
addiszx         FSW          0.33 
addiszx         FTExp        1.17 
addiszx         FTTri        0.17 
addiszx         FTvec        0.33 
addiszx         FctTre       0.17 
addiszx         FiSph        0.17 
addiszx         FnalNt       0.17 
addiszx         FreeP        0.17 
addiszx         FreeP1       0.50 
addiszx         GausPD       0.17 
addiszx         GausPk       0.50 
addiszx         GausWP       0.58 
addiszx         HWF          0.75 
addiszx         HWF0         0.42 
addiszx         HamCan       0.17 
addiszx         HeAnal       1.50 
addiszx         HerEig       0.17 
addiszx         HionCr       1.42 
addiszx         HodgeO       0.17 
addiszx         Hplot        0.17 
addiszx         HyIon2       1.25 
addiszx         InvFun       0.17 
addiszx         InvMGs       0.58 
addiszx         Keple1       0.25 
addiszx         LVgaug       0.17 
addiszx         LenGau       0.25 
addiszx         LinEq        0.67 
addiszx         LinMap       0.42 
addiszx         MWEq         0.33 
addiszx         Make         0.17 
addiszx         MatEig       0.33 
addiszx         MatLS        0.33 
addiszx         MatLS2       0.42 
addiszx         MatPol       0.75 
addiszx         NormV        0.17 
addiszx         OrNrB        0.17 
addiszx         OrthSp       0.58 
addiszx         PChain       1.42 
addiszx         PWave        0.17 
addiszx         ParWav       1.50 
addiszx         ParaCr       0.42 
addiszx         ParaHy       0.42 
addiszx         PhRoc        2.00 
addiszx         PrbJ         0.67 
addiszx         PrncAx       0.83 
addiszx         QHallE       0.17 
addiszx         QM0          0.17 
addiszx         QMcons       0.33 
addiszx         QOrbAM       0.50 
addiszx         QuaRot       0.25 
addiszx         RCrank       0.50 
addiszx         RYTDSE       0.25 
addiszx         RabiF        0.25 
addiszx         RadSE        0.33 
addiszx         Rot2D        0.50 
addiszx         Rot2DT       0.42 
addiszx         SIcros       1.00 
addiszx         Sample       1.17 
addiszx         Sca1D        0.83 
addiszx         SpcLad       1.75 
addiszx         SphAM        0.50 
addiszx         SphBsl       0.42 
addiszx         SphHHz       0.42 
addiszx         SphHar       0.25 
addiszx         SphLap       0.42 
addiszx         SphNab       0.25 
addiszx         SqrPot       1.42 
addiszx         SubSpc       0.17 
addiszx         TDPEx        0.50 
addiszx         TDSE         0.58 
addiszx         Tensor       2.17 
addiszx         TotDer       0.17 
addiszx         TriEqv       0.17 
addiszx         TrigH        0.25 
addiszx         VcPlWv       0.17 
addiszx         VecAnl       0.25 
addiszx         Volkov       2.83 
addiszx         VopEq        0.67 
addiszx         WpEng        0.17 
addiszx         WrGuid       0.25 
addiszx         atmDen       0.50 
addiszx         edTODO       5.75 
addiszx         editor       0.58 
addiszx         keldis       0.25 
addiszx         kramer       0.25 
addiszx         main         1.00 
addiszx         poison       0.42 
addiszx         qed1         0.17 
addiszx         regex        0.25 
addiszx         sinc         0.33 
addiszx         t            0.25 
addiszx         tDelay       0.58 
addiszx         templt       0.17 
addiszx         test         4.33 
addiszx         test00       0.33 
addiszx         test1        0.75 
addiszx         test5        0.17 
addiszx         test55       0.25 
addiszx         test7        0.17 
addiszx         viscos       0.25 
