author      entry        time(h)
admin           VecHol       0.50 
admin           VecInt       0.25 
admin           VecOp        0.92 
admin           VecPar       0.67 
admin           VecPdv       0.17 
admin           VecRep       0.58 
admin           VecSpn       0.75 
admin           Vfield       0.17 
admin           VisSpt       0.58 
admin           VnA          0.17 
admin           VnA1         0.83 
admin           Volkov       1.17 
admin           Voltag       3.58 
admin           VopEq        1.50 
admin           Vtrans       2.08 
admin           W1dNum       0.17 
admin           WEq1D        0.42 
admin           WaEner       0.17 
admin           WaInte       0.25 
admin           Weight       1.17 
admin           WheBrg       0.75 
admin           WienDs       0.50 
admin           WigDmt       0.17 
admin           WpEng        1.58 
admin           WrGuid       2.58 
admin           Wv2D         0.17 
admin           WvPck        0.33 
admin           YlmNum       0.17 
admin           YlmTab       0.17 
admin           Young        0.67 
admin           YoungM       0.42 
admin           a            0.50 
admin           aa           0.25 
admin           aaa          0.25 
admin           aaaa         0.33 
admin           adjoin       0.33 
admin           amo2         1.17 
admin           anal         0.25 
admin           art3D        0.83 
admin           atmDen       0.75 
admin           atpNt        0.17 
admin           axioms       0.33 
admin           banach       1.00 
admin           beatno       0.25 
admin           blkSlp       1.67 
admin           braket       0.25 
admin           cauchy       2.50 
admin           chkSum       1.67 
admin           code         0.17 
admin           combin       0.33 
admin           contin       1.08 
admin           coset        0.25 
admin           cppExc       0.33 
admin           cppInt       1.75 
admin           cppOp        0.17 
admin           crypto       3.33 
admin           cublas       0.83 
admin           curvat       1.83 
admin           damop        0.50 
admin           deltaN       0.25 
admin           denMat       1.58 
admin           dieleS       0.92 
admin           dpecs        0.42 
admin           draft        0.17 
admin           edTODO       21.42
admin           editIn       0.67 
admin           editor       9.25 
admin           edy33        0.42 
admin           edy34        0.33 
admin           eleDP2       0.67 
admin           eleDpl       1.67 
admin           elecdy       0.17 
admin           encode       2.75 
admin           eq           0.17 
admin           factor       0.25 
admin           field        0.25 
admin           fluid1       0.17 
admin           fluid2       0.17 
admin           footno       0.25 
admin           functi       0.25 
admin           g            0.25 
admin           gdbcpp       1.83 
admin           geodes       0.17 
admin           homomo       0.58 
admin           imgFrm       0.33 
admin           infSer       0.17 
admin           infty        0.17 
admin           intera       0.33 
admin           intger       0.75 
admin           julia        0.17 
admin           julias       0.25 
admin           keldis       1.42 
admin           latxIn       2.92 
admin           licens       2.17 
admin           linDpe       0.75 
admin           main         11.00
admin           map          3.08 
admin           matb         1.17 
admin           meromo       0.33 
admin           mn2lin       0.33 
admin           moTDSE       0.42 
admin           motint       0.92 
admin           nihao        0.17 
admin           numpy        0.25 
admin           permut       0.25 
admin           powerS       0.58 
admin           proj3D       1.83 
admin           projOp       0.50 
admin           qed1         0.92 
admin           qed2         0.42 
admin           qed3         0.25 
admin           regex        1.08 
admin           rod          0.42 
admin           rotOp        0.25 
admin           rules        1.42 
admin           shenry       0.17 
admin           sinc         0.25 
admin           spacet       0.25 
admin           spinMt       0.92 
admin           spiral       0.25 
admin           symetr       2.50 
admin           t            0.83 
admin           tDelay       0.17 
admin           tabtkd       0.17 
admin           templt       0.17 
admin           test         17.83
admin           test01       0.25 
admin           test1        2.83 
admin           test11       0.58 
admin           test12       1.00 
admin           test2        2.00 
admin           test21       0.17 
admin           test27       0.33 
admin           test3        1.00 
admin           test4        0.83 
admin           test5        0.33 
admin           test73       0.17 
admin           tex          0.33 
admin           text         0.25 
admin           tgSpa        0.25 
admin           tgSpaE       0.33 
admin           time2        1.83 
admin           tmp          0.25 
admin           trace        0.67 
admin           tranOp       0.67 
admin           try          0.17 
admin           tst          0.25 
admin           wvISW        0.50 
admin           www          0.25 
admin           xwLogo       0.67 
boymike17       CoReSh       0.42 
boymike17       DisCos       0.50 
boymike17       FRW          0.25 
boymike17       STover       0.58 
boymike17       TYPEst       0.42 
boymike17       UniEvo       1.17 
fsf王            Gama1        0.83 
fsf王            math         0.17 
hyperdunk       spiral       0.17 
junyi           BLAS         0.42 
junyi           Corio        0.25 
junyi           QMmat        0.17 
junyi           cublas       0.42 
liveinthetruth  fluid1       2.17 
liveinthetruth  fluid2       0.25 
mingqiyan       LiReC1       0.17 
mingqiyan       main         0.25 
shizy0808       PyFile       1.67 
shizy0808       PyFit        0.33 
shizy0808       PyFunc       1.50 
shizy0808       PyMod        0.50 
shizy0808       Python       2.08 
shizy0808       SciPy        0.75 
shizy0808       test1        0.17 
stevenxiu       CenFrc       0.33 
stevenxiu       xiu          0.42 
vitalyr         Cat          0.42 
zhaojiayu       Group        0.17 
zhaojiayu       permu        1.00 
zhousiyi        BRST         4.25 
zhousiyi        Geomet       2.58 
zhousiyi        QuanGR       0.33 
zhousiyi        RNS          4.00 
zhousiyi        ScaPT        0.75 
zhousiyi        TTGaug       4.75 
zhousiyi        TenPT        2.83 
zhousiyi        intera       3.50 
zhousiyi        main         0.17 
なりもと            Pscrol       0.42 
为光              FD           0.42 
叶月2_            main         0.17 
叶月2_            qed1         5.08 
叶月2_            qed2         2.58 
叶月2_            qed3         2.67 
小时              AtomId       0.75 
小时              EMRef        0.17 
小时              Laplac       0.33 
小熊慢慢说           PLaw         1.75 
小熊慢慢说           QEng         4.08 
幻想乡的观测者         CM0          0.33 
幻想乡的观测者         Calc         0.17 
时光子             editor       0.17 
水铭              edy33        2.92 
水铭              edy34        1.17 
水铭              elecdy       0.92 
水铭              main         0.25 
老有才             SRWZd        0.25 
虫大              BdLgth       0.25 
虫大              dpecs        0.25 
零穹              BioSav       2.50 
零穹              Catena       0.67 
零穹              CurLen       1.00 
零穹              Spring       0.25 
