entry    time(h)    author
SRAcc   1.17  JierPeter     
SRAcc   0.25  addis         
SRDyn   1.08  JierPeter     
SRDyn   0.67  addis         
SRFld   2.5   JierPeter     
SRLrtz  0.5   JierPeter     
SRLrtz  0.17  addis         
SROb    0.25  addis         
SROb    0.25  JierPeter     
SRWZd   0.25  老有才           
SRc     0.92  JierPeter     
SRc     0.58  addis         
SRsmt   1.75  JierPeter     
SRsmt   0.33  addis         
SRtime  1.67  JierPeter     
STover  0.58  boymike17     
SVarDP  0.17  addis         
SVecSp  0.83  JierPeter     
Sample  5.92  addis         
Sample  0.33  JierPeter     
Sample  0.17  零穹            
Sca1D   2     addis         
ScaNrm  11.17 addis         
ScaPT   0.75  zhousiyi      
ScaPT   0.17  addis         
Scater  0.25  addis         
SchEq   4.42  addis         
SchEq   0.33  _Eden_        
SciPy   0.75  shizy0808     
SciPy   0.33  addis         
SelRul  3.08  addis         
SemGrp  0.75  JierPeter     
SepVar  0.92  addis         
Set     1.92  addis         
Set     1.67  JierPeter     
SetAxi  1.25  hfb25         
SetLim  1.17  JierPeter     
SetLim  0.67  addis         
Sfile   1.08  addis         
ShoWav  0.33  addis         
ShoWav  0.17  FFjet         
Sign    4.58  零穹            
Sign    0.17  addis         
SimCom  0.92  JierPeter     
SimHml  1.42  JierPeter     
SinPen  0.75  coppersoulfate
SinPen  0.17  addis         
SixJ    0.17  addis         
SliAri  1     addis         
SliBan  0.25  addis         
SliCut  2.33  addis         
SliMat  2.58  addis         
SliTim  0.25  addis         
SmthM   0.83  JierPeter     
SmthM   0.17  addis         
Snel    0.5   FFjet         
SolAng  0.17  零穹            
SolAng  0.17  addis         
SpcLad  3.42  addis         
SpeMat  1.58  DTSIo         
SpePrj  1.25  DTSIo         
SpePrj  0.25  addis         
SpeRad  0.25  DTSIo         
SpeRel  1.75  JierPeter     
SpeRel  0.42  addis         
Sph     0.33  addis         
SphAM   0.67  addis         
SphBsl  2.75  addis         
SphCar  1.17  addis         
SphCar  0.17  零穹            
SphCup  0.42  addis         
SphF    0.58  addis         
SphHHz  0.75  addis         
SphHar  4.25  addis         
SphHmt  1     JierPeter     
SphLap  1.42  addis         
SphLap  0.67  _Eden_        
SphNab  2.08  addis         
SphRot  0.33  addis         
SphTri  0.58  addis         
Spin    1.17  _Eden_        
Spin    0.17  addis         
Spring  1.67  零穹            
Spring  1.08  addis         
SqrPot  4.92  addis         
StaPro  1.58  addis         
StackC  0.67  addis         
StatEq  0.25  addis         
StatMe  0.17  addis         
SteBol  0.67  addis         
Stokes  0.75  addis         
StpPot  0.17  addis         
SubMnf  0.33  JierPeter     
SubMnf  0.25  addis         
SubSpc  0.25  addis         
SufCnd  0.33  addis         
SunDia  1.08  addis         
SupInf  0.17  addis         
SurInt  0.33  addis         
SverAd  0.83  Li.W          
SverAd  0.33  addis         
SymEig  0.42  addis         
SymMat  0.5   addis         
SysMom  0.75  addis         
TDPEx   1.17  addis         
TDPT    2.42  addis         
TDSE    1.17  addis         
TDiff   0.17  addis         
TIPT    5.58  addis         
TSEBW   0.67  零穹            
TSEBW   0.17  addis         
TTGaug  4.75  zhousiyi      
TTGaug  0.58  addis         
TYPEst  0.42  boymike17     
TYPEst  0.17  addis         
TanBun  0.92  JierPeter     
TanBun  0.25  addis         
TanL    0.42  addis         
Taylor  3.5   addis         
Taylor  0.75  DTSIo         
Taylr2  0.17  addis         
Td2Law  0.33  _Eden_        
Td2Law  0.25  addis         
TeXliv  0.25  addis         
TenMan  0.17  addis         
TenPT   2.83  zhousiyi      
TenPT   0.17  addis         
Tensor  5.33  JierPeter     
Tensor  2.58  addis         
TestT   2.92  JierPeter     
TestT   0.17  addis         
Th1Law  1     _Eden_        
Th1Law  0.5   addis         
ThCapa  2.42  _Eden_        
ThCapa  1.25  addis         
TherEq  1.25  _Eden_        
ThreeJ  0.5   addis         
TimeCa  2.75  addis         
TimeCa  0.17  hfb25         
TmsPrs  1.08  JierPeter     
TopGrp  1.75  JierPeter     
TopGrp  0.25  addis         
TopSpc  0.17  addis         
Topo0   1.67  JierPeter     
Topo1   1.33  JierPeter     
Topo1   0.25  addis         
Topo2   1.92  JierPeter     
Topo2   0.5   addis         
Topo3   0.92  JierPeter     
Topo3   0.5   addis         
Topo4   0.75  JierPeter     
Topo5   2.17  JierPeter     
Topo6   1.08  JierPeter     
Topo6   0.25  addis         
Topo7   1.83  JierPeter     
Topo7   0.17  addis         
Topo8   0.5   JierPeter     
Topo8   0.33  addis         
Topo9   0.67  JierPeter     
Topol   1.83  addis         
Topol   1.58  JierPeter     
Topol   0.17  hfb25         
Torque  1.08  addis         
TotDer  0.33  addis         
TrLgdr  0.92  JierPeter     
TrLgdr  0.58  addis         
TrTnsr  2.25  JierPeter     
TrTnsr  0.17  addis         
Traglt  0.92  JierPeter     
TransM  1     JierPeter     
TransM  0.17  addis         
Tri2St  1.25  coppersoulfate
Tri2St  0.5   addis         
TriCro  0.42  addis         
TriEqv  0.67  addis         
TriLim  0.33  addis         
TriVM   0.42  addis         
TrigH   0.42  addis         
TrmSym  0.33  addis         
TsrPrd  1.33  JierPeter     
Twins   1.25  JierPeter     
TwoAtF  0.17  addis         
TwoBD   0.5   addis         
UCBas   0.5   addis         
UFD     0.42  addis         
UFD     0.33  JierPeter     
USD     5.33  零穹            
USTC13  1.33  Entanglement  
USTC14  1.17  Entanglement  
USTC14  0.17  addis         
USTC15  1.08  Entanglement  
USTC16  1.08  Entanglement  
Uncert  2.75  零穹            
Uncert  1.5   addis         
UniCnt  0.33  addis         
UniCnv  1.25  JierPeter     
UniCnv  0.42  addis         
UniCo2  1.75  JierPeter     
UniEvo  1.17  boymike17     
UniEvo  0.92  addis         
UniMat  0.67  addis         
UniPre  1.5   addis         
Unitar  0.5   addis         
Units   3.92  addis         
V       0.58  addis         
Vand    0.83  _Eden_        
VandDe  1     addis         
VaporP  0.58  addis         
VarCur  0.17  addis         
VbExp   0.67  addis         
VcPlWv  1.17  addis         
Vec     1.33  JierPeter     
VecAnl  0.58  addis         
VecAnl  0.5   JierPeter     
VecBun  0.58  JierPeter     
VecBun  0.25  addis         
VecCon  0.83  DTSIo         
VecCon  0.5   addis         
VecCon  0.17  JierPeter     
VecCur  0.33  addis         
VecCur  0.33  DTSIo         
VecHol  0.5   addis         
VecHol  0.17  DTSIo         
VecInt  0.25  addis         
VecOp   1.08  addis         
VecPar  0.67  addis         
VecPar  0.5   DTSIo         
VecPdv  0.17  addis         
VecRep  0.83  JierPeter     
VecRep  0.58  addis         
VecSpn  1.75  JierPeter     
VecSpn  0.75  addis         
Velope  2.42  零穹            
Velope  0.17  addis         
Vfield  0.33  addis         
ViPip   0.17  xzllxls       
VisSpt  0.58  addis         
VnA     0.17  addis         
VnA1    0.83  addis         
Volkov  4     addis         
Voltag  3.58  addis         
VopEq   2.33  addis         
Vtrans  2.08  addis         
W1dNum  0.25  addis         
WEq1D   0.75  addis         
WKB     0.58  addis         
WaEner  0.58  FFjet         
WaEner  0.17  addis         
WaInte  0.25  addis         
WaInte  0.25  FFjet         
WeakG   1.17  JierPeter     
WeakG   0.17  addis         
Weiers  0.67  addis         
Weight  1.17  addis         
Weyl    1.08  zhousiyi      
WheBrg  0.75  addis         
WienDs  0.5   addis         
WigDmt  0.33  addis         
Worcod  1.25  xzllxls       
Worcod  0.17  addis         
WpEng   1.75  addis         
WrGuid  3.17  addis         
Wv2D    0.17  addis         
WvPck   0.33  addis         
YlmNum  0.17  addis         
YlmTab  0.75  addis         
Young   1.42  FFjet         
Young   0.67  addis         
YoungM  0.42  addis         
a       0.5   addis         
aa      0.25  addis         
aaa     0.33  addis         
aaaa    0.33  addis         
about   0.58  addis         
adjoin  0.42  addis         
affcon  2.25  JierPeter     
amo2    1.17  addis         
anal    0.83  DTSIo         
anal    0.25  addis         
app     1.92  addis         
art3D   0.83  addis         
asd     0.17  addis         
asdad   0.17  张耀中           
atmDen  1.25  addis         
atpNt   0.17  addis         
axioms  0.33  addis         
axioms  0.17  JierPeter     
banach  1.08  addis         
banach  1     DTSIo         
beat    0.17  addis         
beatno  0.5   addis         
beatno  0.42  FFjet         
blkSlp  2.42  零穹            
blkSlp  1.92  addis         
braket  1.33  addis         
cau     1.75  zhousiyi      
cauchy  2.75  addis         
cauchy  0.83  零穹            
cg      1.58  xzllxls       
cgmc    0.33  xzllxls       
chkSum  1.67  addis         
classi  3.75  zhousiyi      
code    0.17  addis         
combin  1.58  jingyuan      
combin  0.83  addis         
contin  1.25  addis         
contin  0.75  JierPeter     
coset   0.25  addis         
cppExc  0.33  addis         
cppInt  1.75  addis         
cppOp   0.25  addis         
crypto  3.83  addis         
cublas  0.83  addis         
cublas  0.42  junyi         
curvat  1.92  addis         
cycloi  0.58  零穹            
cycloi  0.25  addis         
damop   0.5   addis         
dd      0.17  addis         
deltaN  0.42  addis         
denMat  1.58  addis         
dieleS  1     addis         
digama  0.25  addis         
diracm  2.5   zhousiyi      
diracs  4.08  zhousiyi      
dpecs   0.42  addis         
dpecs   0.25  虫大            
draft   0.17  addis         
edTODO  32.08 addis         
editIn  0.75  addis         
editor  10.5  addis         
editor  0.17  时光子           
edy33   2.92  水铭            
edy33   1.5   _Eden_        
edy33   0.67  addis         
edy34   1.17  水铭            
edy34   0.33  addis         
eleDP2  0.67  addis         
eleDpl  2.5   JierPeter     
eleDpl  1.75  addis         
elecdy  0.92  水铭            
elecdy  0.17  addis         
encode  2.75  addis         
eq      0.17  addis         
equcri  0.83  _Eden_        
factor  0.33  addis         
field   0.75  JierPeter     
field   0.58  addis         
fluid1  2.17  liveinthetruth
fluid1  0.17  addis         
fluid2  0.33  addis         
fluid2  0.25  liveinthetruth
footno  0.25  addis         
functi  0.25  addis         
g       0.25  addis         
gdbcpp  1.83  addis         
geodes  1.33  JierPeter     
geodes  0.17  addis         
hhh     0.17  addis         
hhh     0.17  Chain         
homomo  0.58  addis         
imgFrm  0.33  addis         
impeda  1.25  addis         
impeda  0.25  coppersoulfate
impro   0.33  addis         
infSer  0.17  addis         
infty   0.25  addis         
intera  3.5   zhousiyi      
intera  0.33  addis         
intger  1.33  JierPeter     
intger  0.83  addis         
inv1    0.17  lxe           
inv10   0.42  lxe           
inv4    0.17  addis         
inv6    0.17  addis         
inv7    0.25  lxe           
inv9    1.08  lxe           
julia   5.08  addis         
julias  0.33  addis         
keldis  1.67  addis         
kramer  0.25  addis         
latxIn  3     addis         
licens  2.42  addis         
linDpe  0.75  addis         
main    24.17 addis         
main    5.83  JierPeter     
main    5.25  DTSIo         
main    1.08  zhousiyi      
main    1.08  jingyuan      
main    0.92  xzllxls       
main    0.67  零穹            
main    0.42  _Eden_        
main    0.25  水铭            
main    0.25  mingqiyan     
main    0.17  时光子           
main    0.17  叶月2_          
map     4.17  addis         
map     0.67  JierPeter     
matb    1.17  addis         
math    0.17  fsf王          
meromo  0.33  addis         
mn2lin  0.33  addis         
moTDSE  2.5   addis         
motint  0.92  addis         
motint  0.42  FFjet         
nihao   0.17  addis         
numpy   0.42  addis         
ovfit   0.75  xzllxls       
parti   1.33  zhousiyi      
permu   1     zhaojiayu     
permut  0.92  jingyuan      
permut  0.67  addis         
plan    0.25  addis         
poison  0.42  addis         
powerS  0.58  addis         
proj3D  1.92  addis         
projOp  1     addis         
qed1    5.08  叶月2_          
qed1    1.25  addis         
qed1    0.25  JierPeter     
qed2    2.67  叶月2_          
qed2    1.08  zhousiyi      
qed2    0.42  addis         
qed3    2.67  叶月2_          
qed3    0.25  addis         
qed4    6.5   叶月2_          
qed4    0.58  addis         
quandi  0.5   zhousiyi      
quanti  1.67  zhousiyi      
regex   1.25  addis         
rl      0.83  xzllxls       
rl      0.17  addis         
rod     0.42  addis         
rotOp   0.25  addis         
rules   1.83  addis         
scalar  1.33  zhousiyi      
shenry  0.17  hfb25         
shenry  0.17  addis         
sinc    0.58  addis         
spacet  0.25  addis         
spectr  4.5   zhousiyi      
spinMt  0.92  addis         
spinsu  0.5   zhousiyi      
spiral  0.33  addis         
spiral  0.17  hyperdunk     
symetr  2.5   addis         
t       1.33  addis         
tDelay  1.33  addis         
tabtkd  0.17  addis         
templt  0.33  addis         
test    1.17  addis         
test1   0.17  addis         
test2   0.17  addis         
test3   0.17  addis         
tex     0.33  addis         
text    0.25  addis         
tgSpa   2.42  JierPeter     
tgSpa   0.25  addis         
tgSpaE  2     JierPeter     
tgSpaE  0.33  addis         
time2   2     addis         
tmp     0.5   addis         
trace   0.67  addis         
trace   0.5   JierPeter     
tranOp  0.67  addis         
try     0.17  addis         
tst     0.25  addis         
ttpro   0.5   _Eden_        
turnM   0.58  addis         
unfit   0.25  xzllxls       
viscos  0.25  addis         
wvISW   0.83  addis         
www     0.25  addis         
xiu     0.42  stevenxiu     
xwLogo  0.58  addis         
ynfx    1.67  零穹            
ynfx    0.25  addis         
zeeman  0.33  addis  
