entry    time(h)    author
DGGRNt  0.42  addis         
DIMF    5.5   零穹            
DatExp  0.42  addis         
DatTyp  0.17  addis         
DefInt  0.42  addis         
DelCry  0.5   addis         
DeltOr  0.42  addis         
Delta   9.17  addis         
Der     1.17  addis         
Der     1.17  JierPeter     
Der2    0.83  JierPeter     
DerImg  0.17  addis         
DerRul  1.33  addis         
DerV    0.5   addis         
DetPro  1.83  addis         
DetVol  0.83  JierPeter     
DetVol  0.42  addis         
Deter   2.42  addis         
Deter   0.33  JierPeter     
DiaMaM  0.25  addis         
Dielec  0.92  FFjet         
Dielec  0.58  addis         
DifOp   1.08  addis         
DiffTg  0.58  JierPeter     
DimS    0.42  零穹            
Diode   0.17  addis         
DipApr  0.17  addis         
DipEle  1.17  addis         
DipRad  0.5   addis         
DirPro  1.75  addis         
DirSum  2.5   addis         
Dirac   8.58  zhousiyi      
Dirac   0.17  addis         
Diracq  0.67  zhousiyi      
Diracq  0.17  addis         
DisCos  0.5   boymike17     
DisCos  0.33  addis         
DisCur  0.17  addis         
DivInv  1.42  addis         
Divgnc  0.33  addis         
DoF     0.33  addis         
Domain  0.58  JierPeter     
Dople1  2.83  addis         
Dopler  1.5   addis         
Dot     0.42  addis         
Dsc1D   0.25  addis         
DualSp  2.08  JierPeter     
DualSp  0.5   addis         
E       3.75  addis         
E       0.33  零穹            
EBBox   0.17  addis         
EBP     0.17  addis         
EBS     0.42  addis         
EBTorq  0.67  addis         
EEng    0.75  addis         
EFIDE   0.67  FFjet         
EFIDE   0.17  addis         
EGausP  1.17  addis         
EGauss  3.5   零穹            
EGauss  1.83  addis         
EM0     0.42  addis         
EM1     0.25  addis         
EMFT    1.5   JierPeter     
EMHydr  0.42  addis         
EMLagP  0.42  addis         
EMRef   4.25  addis         
EMRef   0.17  零穹            
EMRef0  0.42  addis         
EMSum   5.83  spain         
EMSum   0.33  addis         
EMTDSE  0.33  addis         
EMulPo  2.42  addis         
EPoiEQ  1.08  _Eden_        
EPoiEQ  0.17  addis         
EWEq    1     addis         
EarthS  0.42  addis         
Efield  1.25  FFjet         
Efield  0.75  addis         
Egreg   1.67  JierPeter     
EinEqn  3     JierPeter     
EinEqn  0.25  addis         
EinSum  1.75  JierPeter     
EinSum  0.17  addis         
EleAdd  0.58  TongQing18    
EleAdd  0.33  addis         
ElePAP  0.33  FFjet         
EleRes  0.33  FFjet         
EleRes  0.25  addis         
EleWat  2.33  addis         
ElecPo  0.25  addis         
EliCor  10.08 零穹            
EliCor  1.42  addis         
EliInt  0.92  addis         
Elips3  0.25  addis         
EnerVi  0.58  FFjet         
EngNor  5.5   addis         
Entrop  1.42  FFjet         
Entrop  0.83  addis         
Entrop  0.33  _Eden_        
EqEng   0.25  addis         
EqMoKp  0.92  addis         
EqPre   0.75  FFjet         
EqPre   0.33  addis         
EqTemp  0.42  FFjet         
EqVol   0.58  FFjet         
Erf     0.25  addis         
EsstCr  0.5   JierPeter     
EuRing  0.5   JierPeter     
Eulequ  2.17  零穹            
Eulequ  0.17  addis         
ExMI    1.08  addis         
ExchOp  2.92  addis         
ExpDec  0.33  addis         
ExtAlg  1.58  JierPeter     
ExtDer  3     JierPeter     
ExtDif  0.25  JierPeter     
F0      3.25  addis         
F2Exm   0.58  addis         
FAmp    0.42  addis         
FD      0.42  为光            
FD      0.25  addis         
FDU15   0.58  _Eden_        
FEDVR   0.58  addis         
FForm   0.75  JierPeter     
FRW     0.25  boymike17     
FRW     0.25  addis         
FSBplt  1.42  addis         
FSBsct  0.33  addis         
FSExp   1.08  addis         
FSTri   1.17  addis         
FSW     2.42  addis         
FSW     1.67  _Eden_        
FSWtwo  0.17  addis         
FTExp   4.75  addis         
FTTri   0.42  addis         
FTvec   0.92  addis         
FaraEB  0.92  addis         
Fbasis  0.42  addis         
FctTre  1.33  JierPeter     
FctTre  0.17  addis         
Fdecom  0.67  addis         
